check,pass,issue
gates_clean,True,
no_prohibited_overclaiming,True,
github_url_consistent,True,
no_zenodo_doi_invented,True,
no_overstated_irb_language,True,
phone_absent_from_main,True,
citation_audit_pass,True,
unresolved_openneuro_citations_flagged,True,"R02,R05"
numeric_claim_present_0.7876,True,
numeric_claim_present_0.1320,True,
numeric_claim_present_0.9149,True,
numeric_claim_present_0.0898,True,
numeric_claim_present_0.5277,True,
numeric_claim_present_200,True,
numeric_claim_present_223,True,
numeric_claim_present_221,True,
numeric_claim_present_75,True,
no_new_analysis_claims,True,
