phase,artifact_type,artifact_count,existing_count,used_in_final_synthesis_count
D1_D3,code_or_config,6,6,0
D1_D3,csv,10,10,0
D1_D3,report,5,5,2
D2,csv,28,28,1
ds003490_rehearsal,code_or_config,1,1,0
ds003490_rehearsal,csv,5,5,1
final_consolidation,csv,3,3,3
final_consolidation,report,3,3,3
log,json,1,1,0
log,log,1,1,0
raw_data_verification,csv,6,6,2
script,code_or_config,34,34,0
stale_repair_audit,code_or_config,2,2,0
stale_repair_audit,csv,6,6,0
stale_repair_audit,json,1,1,1
stale_repair_audit,ok,1,1,0
stale_repair_audit,report,2,2,2
supporting,code_or_config,3,3,0
supporting,csv,12,12,1
supporting,report,6,6,1
